timestamp,TimeUS,ThI,ABst,ThO,ThH,DAlt,Alt,BAlt,DSAlt,SAlt,TAlt,DCRt,CRt
1674111254.84268403,92526980,0.16168183088302612,0.0003366619348526001,0.16135838627815247,0.13879075646400452,3.046173334121704,3.097271680831909,0.7000000000000001,nan,0.0,3.3949954509735107,-2,4
1674111254.94267917,92626975,0.16302110254764557,0.00030866265296936035,0.1627088040113449,0.13879075646400452,3.0486721992492676,3.1059999465942383,0.6,nan,0.0,3.403723955154419,-3,2
1674111255.04259205,92726888,0.16272269189357758,0.0003415048122406006,0.16324859857559204,0.13879075646400452,3.0507171154022217,3.1137709617614746,0.21,nan,0.0,3.4113481044769287,-4,0
1674111255.14262009,92826916,0.16240060329437256,0.0003263205289840698,0.16231872141361237,0.13879075646400452,3.0523903369903564,3.1185576915740967,0.58,nan,0.0,3.4161345958709717,-5,-1
1674111255.24259901,92926895,0.16510571539402008,0.00033468008041381836,0.1640249788761139,0.13879075646400452,3.053759813308716,3.1198887825012207,0.49,nan,0.0,3.4174656867980957,-5,-2
1674111255.34259820,93026894,0.16305692493915558,0.00030097365379333496,0.1643587350845337,0.13879075646400452,3.0548813343048096,3.1196858882904053,0.31,nan,0.0,3.4170453548431396,-5,-4
1674111255.44260907,93126905,0.1629686951637268,0.0003252178430557251,0.1639491468667984,0.13879075646400452,3.055798053741455,3.117013454437256,0.92,nan,0.0,3.413947582244873,-5,-5
1674111255.54261303,93226909,0.16356965899467468,0.00031648576259613037,0.16362309455871582,0.13879075646400452,3.0565483570098877,3.115349292755127,0.9400000000000001,nan,0.0,3.4121384620666504,-5,-4
1674111255.64257121,93326867,0.16526451706886292,0.00034809112548828125,0.16509972512722015,0.13879075646400452,3.0571625232696533,3.1159117221832275,0.07,nan,0.0,3.412489414215088,-5,-4
1674111255.74262118,93426917,0.16588841378688812,0.0003656446933746338,0.16524790227413177,0.13879075646400452,3.057664632797241,3.113853693008423,0.36,nan,0.0,3.410005807876587,-5,-6
1674111255.84261417,93526910,0.16933894157409668,0.00035806000232696533,0.16661974787712097,0.13879075646400452,3.0580761432647705,3.108546018600464,0.29,nan,0.0,3.404553174972534,-4,-5
1674111255.94262600,93626922,0.16979743540287018,0.00035355985164642334,0.1689777374267578,0.13879075646400452,3.0584123134613037,3.1011831760406494,0.65,nan,0.0,3.3969786167144775,-3,-9
1674111256.04265404,93726950,0.17117737233638763,0.0003163069486618042,0.17102335393428802,0.13879075646400452,3.058687686920166,3.093258857727051,0.6,nan,0.0,3.3888425827026367,-3,-9
1674111256.14256501,93826861,0.17003461718559265,0.00030632317066192627,0.1709839552640915,0.13879075646400452,3.058912992477417,3.0867760181427,0.53,nan,0.0,3.382504940032959,-2,-6
1674111256.24255204,93926848,0.17009881138801575,0.0003264397382736206,0.17033880949020386,0.13879075646400452,3.0590975284576416,3.081641435623169,0.34,nan,0.0,3.376800060272217,-2,-5
1674111256.34259415,94026890,0.17050662636756897,0.0002799034118652344,0.17062236368656158,0.13879075646400452,3.0592479705810547,3.0762505531311035,0.28,nan,0.0,3.3714089393615723,-1,-5
1674111256.44264913,94126945,0.1682366579771042,0.0002745389938354492,0.16953085362911224,0.13879075646400452,3.05937123298645,3.0704939365386963,0.43,nan,0.0,3.36543869972229,-1,-3
1674111256.54262209,94226918,0.16710905730724335,0.00027573108673095703,0.16845884919166565,0.13879075646400452,3.0594727993011475,3.0656356811523438,0.63,nan,0.0,3.3605804443359375,0,-5
1674111256.64257812,94326874,0.16818144917488098,0.0002703815698623657,0.16884443163871765,0.13879075646400452,3.0595545768737793,3.063157558441162,0.77,nan,0.0,3.3576788902282715,0,-3
